month_year,closest_station,patient_count
January 2012,Mainz/Bretzenheim,4
January 2012,Mainz/Finthen,4
January 2012,Mainz/Gonsenheim,3
January 2012,Mainz/Hechtsheim,2
January 2012,Mainz/Oberstadt,2
January 2012,Mainz/Weisenau,1
February 2012,Mainz/Bretzenheim,4
February 2012,Mainz/Finthen,1
February 2012,Mainz/Gonsenheim,2
February 2012,Mainz/Weisenau,1
March 2012,Mainz/Bretzenheim,6
March 2012,Mainz/Finthen,1
March 2012,Mainz/Oberstadt,1
March 2012,Mainz/Weisenau,3
April 2012,Mainz/Bretzenheim,1
April 2012,Mainz/Finthen,3
April 2012,Mainz/Hechtsheim,2
April 2012,Mainz/Weisenau,2
May 2012,Mainz/Bretzenheim,2
May 2012,Mainz/Weisenau,4
June 2012,Mainz/Bretzenheim,2
June 2012,Mainz/Finthen,3
June 2012,Mainz/Hechtsheim,1
June 2012,Mainz/Weisenau,1
July 2012,Mainz/Bretzenheim,1
July 2012,Mainz/Gonsenheim,1
July 2012,Mainz/Hechtsheim,1
July 2012,Mainz/Oberstadt,1
July 2012,Mainz/Weisenau,5
August 2012,Mainz/Bretzenheim,2
August 2012,Mainz/Finthen,2
August 2012,Mainz/Gonsenheim,1
August 2012,Mainz/Hechtsheim,2
August 2012,Mainz/Oberstadt,2
August 2012,Mainz/Weisenau,2
September 2012,Mainz/Bretzenheim,1
September 2012,Mainz/Finthen,2
September 2012,Mainz/Gonsenheim,2
September 2012,Mainz/Hechtsheim,1
September 2012,Mainz/Oberstadt,2
September 2012,Mainz/Weisenau,4
October 2012,Mainz/Bretzenheim,1
October 2012,Mainz/Finthen,2
October 2012,Mainz/Gonsenheim,1
October 2012,Mainz/Oberstadt,1
October 2012,Mainz/Weisenau,4
November 2012,Mainz/Bretzenheim,1
November 2012,Mainz/Finthen,2
November 2012,Mainz/Hechtsheim,1
November 2012,Mainz/Oberstadt,1
December 2012,Mainz/Finthen,1
December 2012,Mainz/Hechtsheim,4
December 2012,Mainz/Oberstadt,1
December 2012,Mainz/Weisenau,3
January 2013,Mainz/Bretzenheim,3
January 2013,Mainz/Finthen,4
January 2013,Mainz/Hechtsheim,1
